filename,percents,passed,matched_impls
0.4.24--0x1b426701538208ee3c5f37ed15ab97e5c5d555c4--Telecomm--.bin,94.44444444444444,False,62
0.4.24--0x1b744251d2ec5110b6797804307f4377a7f70244--ltcatoken--.bin,95.45454545454545,False,107
0.4.24--0x1b80eeeadcc590f305945bcc258cfa770bbe1890--BXBCoin--.bin,97.05882352941177,False,88
0.4.24--0x1B8a0ECdFC973183a5337a48fb34Da2AE518E2fD--TavuxCoin--.bin,92.3076923076923,False,67
0.4.24--0x1c596e094b6789688c92d0d0bfa84b1efb5e8f74--Gateway--.bin,54.054054054054056,True,0
0.4.24--0x1d02ed20adccacfc6e4212caab1095b55cdb0f1b--OffChainManagerImpl--.bin,35.84905660377358,True,0
0.4.24--0x1e403f8ce554f2ffa6e5560d3db112dfc0ed24d2--ZOOM--.bin,100.0,True,82
0.4.24--0x1e66008a24a486456a796e0c771fdc0cdf43cad9--STELLARCLASSIC--.bin,86.95652173913044,False,107
0.4.24--0x1ea38dd89b7422a44653e65ee0d11b4b0da5da4d--YAONetwork--.bin,100.0,True,78
0.4.24--0x20085f90dc168885bf6f71db07b67f462335b992--CoinMekkaToken--.bin,100.0,True,66
0.4.24--0x20b495af424946976b71597bc41c5b516eebfa1a--YoonwooCoin--.bin,100.0,True,77
0.4.24--0x2126169c5de7283a0c2f4477ca6c26d0d2c59468--EthereumClaimsRegistry--.bin,100.0,True,1
0.4.24--0x21a21ffc7d1871247b6464fb0814461589941dcd--BARO_TOKEN--.bin,100.0,True,88
0.4.24--0x22459b066f7b17ab12087470e68f0376a08eff1b--UPToken--.bin,100.0,True,97
0.4.24--0x26ac9e871f1c095018151710448a0bc90f638178--XDEX--.bin,80.95238095238095,True,1
0.4.24--0x284da39fec424ad0e1dc5a004b881de309c24a32--BalicoinToken--.bin,100.0,True,60
0.4.24--0x2f5cb924993185e13f92f019588786093b2e9efc--ChsToken--.bin,100.0,True,70
0.4.24--0x30392eED0Bf2a8716FCfc5488E02Ea2f034577B8--GimbahToken--.bin,95.23809523809523,False,107
0.4.24--0x304e52b3a2d5ff618da436134e9a6c405e4b0a22--FixedSupplyToken--.bin,100.0,True,53
0.4.24--0x31910aff5545784755970ae1fbe7fe65d5f0eea2--CreatorPAL--.bin,86.95652173913044,False,107
0.4.24--0x327ccc83b53680e46c0575430ad3a1f26acae437--Pi--.bin,95.23809523809523,False,107
0.4.24--0x33ae548865874bBc1F3d35b6Db3cFcD405B85728--MainToken--.bin,97.14285714285714,False,86
0.4.24--0x36fF29571Ed2Ff029dF9fA6DA076CA1484CEB9Dc--Vioscoin--.bin,95.23809523809523,False,107
0.4.24--0x3cb31ebd504068f8ed18e087a6569293d2390b40--TOONPL--.bin,96.66666666666667,False,109
0.4.24--0x3daf415d25829c07af9ce65c8e05817c3bc101ed--Deposit--.bin,71.42857142857143,True,0
0.4.24--0x3dbd8bc9a230971fac381e014e94f5e5739bfb2a--TokenERC20--.bin,100.0,True,67
0.4.24--0x3eab8761584f71b51a096a622f7294f045c2357c--Token--.bin,93.33333333333333,False,71
0.4.24--0x42595584e6029178d6009077db7a6b68650aa1f0--BetContract--.bin,54.54545454545454,True,0
0.4.24--0x42e566e656b88c1fec5b3077bf3b5c93eb9d454f--MultiSend--.bin,100.0,True,1
0.4.24--0x42f7a1440ee8771bfc0d8f8cc16301e2dc0eb1d1--MainContract--.bin,30.18867924528302,False,53
0.4.24--0x432555e5c898f83fc5f00df631bd9c2801fea289--HUBRIS--.bin,100.0,True,79
0.4.24--0x44e2ca91cea1147f1b503e669f06cd11fb0c5490--CoinMetroToken--.bin,100.0,True,76
0.4.24--0x4569fd03e90a481ec545b354506d228967de30dd--Token--.bin,100.0,True,92
0.4.24--0x46580533db92c418a79f91b46df70283daef7f99--MultipleArbitrableTransaction--.bin,50.0,True,0
0.4.24--0x47ddf5731077a1a9a447589984e6e98787ad6d80--StreampayToken--.bin,90.9090909090909,False,53
0.4.24--0x49184cbb7da9173c6dc787dfaefbff4f9efe2b65--OPTToken--.bin,100.0,True,67
0.4.24--0x50eae8e1505e46c6d35f64ec88e7693a0ac1d59e--task--.bin,55.55555555555556,False,0
0.4.24--0x522F3A0bD893FFbd9F4c9a477E2F9C4b11Fd42Ef--PoaCrowdsale--.bin,87.93103448275862,True,1
0.4.24--0x54923b4f2e4433294c70559cc94d1812793f0451--Future1Exchange--.bin,71.42857142857143,True,0
0.4.24--0x5547242B14CC91FB277124BCac296BEA711bcEfe--TokenERC20--.bin,100.0,True,67
